seed,mode,round,firm_id,proposal_price,executed_price,quantity,profit,flagged
0,passive,1,0,1.95,1.95,0.3020641142811066,0.28696090856705125,False
0,passive,1,1,1.85,1.85,0.45062670595568965,0.38303270006233625,False
0,passive,2,0,1.88,1.88,0.3934065474631874,0.34619776176760486,False
0,passive,2,1,1.9,1.9,0.36316001473879816,0.3268440132649183,False
0,passive,3,0,1.84,1.84,0.38305671333605157,0.32176763920228335,False
0,passive,3,1,1.82,1.82,0.4149603837430185,0.34026751466927524,False
0,passive,4,0,1.89,1.89,0.2945760662135675,0.26217269893007505,False
0,passive,4,1,1.75,1.75,0.5157062183654959,0.38677966377412193,False
0,passive,5,0,1.82,1.82,0.3088874878304359,0.25328774002095744,False
0,passive,5,1,1.68,1.68,0.540760830630291,0.36771736482859785,False
0,passive,6,0,1.74,1.74,0.42490726830894404,0.3144313785486186,False
0,passive,6,1,1.74,1.74,0.42490726830894404,0.3144313785486186,False
0,passive,7,0,1.73,1.73,0.3904727333570129,0.2850450953506194,False
0,passive,7,1,1.68,1.68,0.4769244735085961,0.32430864198584536,False
0,passive,8,0,1.72,1.72,0.369903530337494,0.2663305418429957,False
0,passive,8,1,1.64,1.64,0.5094044217536512,0.3260188299223367,False
0,passive,9,0,1.7,1.7,0.35803552800144595,0.25062486960101216,False
0,passive,9,1,1.6,1.6,0.5341262433055894,0.3204757459833537,False
0,passive,10,0,1.66,1.66,0.4194353544548731,0.27682733394021625,False
0,passive,10,1,1.63,1.63,0.472912041588949,0.2979345862010378,False
0,passive,11,0,1.61,1.61,0.4606330319631078,0.2809861494974958,False
0,passive,11,1,1.62,1.62,0.4425713524348685,0.2743942385096185,False
0,passive,12,0,1.58,1.58,0.47404815721076055,0.27494793118224115,False
0,passive,12,1,1.6,1.6,0.4376016028957148,0.26256096173742893,False
0,passive,13,0,1.62,1.62,0.4588205512989147,0.28446874180532716,True
0,passive,13,1,1.63,1.63,0.44082994015404436,0.2777228622970479,True
0,passive,14,0,1.64,1.64,0.4470417053562546,0.2861066914280029,True
0,passive,14,1,1.64,1.64,0.4470417053562546,0.2861066914280029,True
0,passive,15,0,1.65,1.65,0.43717610259366046,0.28416446668587925,False
0,passive,15,1,1.64,1.64,0.4550175977989187,0.2912112625913079,False
0,passive,16,0,1.64,1.64,0.4629535099090806,0.2962902463418115,False
0,passive,16,1,1.66,1.66,0.4273599526141396,0.2820575687253321,False
0,passive,17,0,1.64,1.64,0.4390319545316724,0.2809804509002703,False
0,passive,17,1,1.63,1.63,0.45694918849130733,0.2878779887495236,False
0,passive,18,0,1.64,1.64,0.4470417053562546,0.2861066914280029,False
0,passive,18,1,1.64,1.64,0.4470417053562546,0.2861066914280029,False
0,passive,19,0,1.64,1.64,0.4470417053562546,0.2861066914280029,False
0,passive,19,1,1.64,1.64,0.4470417053562546,0.2861066914280029,False
