seed,round,t,cycle,phase,market_size,firm,proposed_price,executed_price,share,quantity,profit,flagged
0,1,0,1,expansion,100.0,0,2.0,2.0,0.10650697891920075,10.650697891920073,10.650697891920073,False
0,1,0,1,expansion,100.0,1,1.5,1.5,0.7869860421615985,78.69860421615984,39.34930210807992,False
0,2,1,1,expansion,107.82172325201154,0,1.75,1.75,0.3496865240105496,37.70380361682337,28.277852712617527,False
0,2,1,1,expansion,107.82172325201154,1,1.65,1.65,0.5216709929512652,56.24746543059337,36.560852529885686,False
0,3,2,1,expansion,115.45084971874738,0,1.65,1.65,0.365173856907769,42.1596320750742,27.403760848798225,False
0,3,2,1,expansion,115.45084971874738,1,1.55,1.55,0.5447753786679286,62.894780373064734,34.59212920518561,False
0,4,3,1,expansion,122.69952498697734,0,1.73,1.73,0.323596526775532,39.705140122793466,28.98475228963923,False
0,4,3,1,expansion,122.69952498697734,1,1.59,1.59,0.5665115406172546,69.51069693337786,41.01131119069294,False
0,5,4,1,expansion,129.38926261462368,0,1.74,1.74,0.3367537315384394,43.572317006481605,32.24351458479639,False
0,5,4,1,expansion,129.38926261462368,1,1.62,1.62,0.5442190853822092,70.41610615840897,43.657985818213575,False
0,6,5,1,expansion,135.35533905932738,0,1.75,1.75,0.3496865240105496,47.33193802192557,35.49895351644418,False
0,6,5,1,expansion,135.35533905932738,1,1.65,1.65,0.5216709929512652,70.61095412833448,45.89712018341741,False
0,7,6,1,expansion,140.45084971874738,0,1.77,1.77,0.3531262409210682,49.59688059535113,38.18959805842037,False
0,7,6,1,expansion,140.45084971874738,1,1.68,1.68,0.5061462281652885,71.08866782775377,48.34029412287255,False
0,8,7,1,expansion,144.5503262094184,0,1.77,1.77,0.34597961017634965,50.01146551279875,38.50882844485504,False
0,8,7,1,expansion,144.5503262094184,1,1.67,1.67,0.5161409273413775,74.60833941722784,49.98758740954264,False
0,9,8,1,expansion,147.55282581475768,0,1.77,1.77,0.3388422005085245,49.99712419032351,38.4977856265491,False
0,9,8,1,expansion,147.55282581475768,1,1.66,1.66,0.5261227306658517,77.63089563512308,51.23639111918123,False
0,10,9,1,expansion,149.3844170297569,0,1.77,1.77,0.33171968917733036,49.55375238504766,38.1563893364867,False
0,10,9,1,expansion,149.3844170297569,1,1.65,1.65,0.5360836983828668,80.08255076208059,52.053657995352374,False
0,11,10,1,turning,150.0,0,1.72,1.72,0.36990353033749407,55.4855295506241,39.94958127644935,False
0,11,10,1,turning,150.0,1,1.64,1.64,0.5094044217536512,76.41066326304768,48.902824488350504,False
0,12,11,1,contraction,149.3844170297569,0,1.72,1.72,0.3774425809330576,56.38403991489164,40.59650873872198,False
0,12,11,1,contraction,149.3844170297569,1,1.65,1.65,0.49940553127811455,74.60340415141714,48.492212698421135,False
0,13,12,1,contraction,147.55282581475768,0,1.72,1.72,0.36237014888637753,53.46873945909946,38.497492410551615,False
0,13,12,1,contraction,147.55282581475768,1,1.63,1.63,0.519395793357455,76.63831702619044,48.28213972649996,False
0,14,13,1,contraction,144.5503262094184,0,1.72,1.72,0.36990353033749407,53.46967597630025,38.49816670293618,False
0,14,13,1,contraction,144.5503262094184,1,1.64,1.64,0.5094044217536512,73.63457533701042,47.12612821568666,False
0,15,14,1,contraction,140.45084971874738,0,1.72,1.72,0.3548484460902703,49.83876577475557,35.88391135782401,False
0,15,14,1,contraction,140.45084971874738,1,1.62,1.62,0.5293716757970918,74.3507016827388,46.09743504329806,False
0,16,15,1,contraction,135.35533905932738,0,1.71,1.71,0.38688680729805486,52.36719497940887,37.18070843538029,False
0,16,15,1,contraction,135.35533905932738,1,1.65,1.65,0.4918295250482135,66.57175212228887,43.27163887948776,False
0,17,16,1,contraction,129.38926261462368,0,1.72,1.72,0.36237014888637753,46.88680635795978,33.758500577731034,False
0,17,16,1,contraction,129.38926261462368,1,1.63,1.63,0.519395793357455,67.20423870765856,42.338670385824884,False
0,18,17,1,contraction,122.69952498697734,0,1.7,1.7,0.365694408458987,44.87053020831138,31.409371145817964,False
0,18,17,1,contraction,122.69952498697734,1,1.61,1.61,0.5241605523845094,64.31425079449097,39.2316929846395,False
0,19,18,1,contraction,115.45084971874738,0,1.72,1.72,0.36990353033749407,42.70567689142813,30.748087361828254,False
0,19,18,1,contraction,115.45084971874738,1,1.64,1.64,0.5094044217536512,58.811173341946194,37.63915093884555,False
0,20,19,1,contraction,107.82172325201157,0,1.71,1.71,0.3640579300842154,39.253353385240445,27.869880903520716,True
0,20,19,1,contraction,107.82172325201157,1,1.62,1.62,0.5218149397936575,56.26298602719681,34.883051336862025,True
0,21,20,1,contraction,100.0,0,1.69,1.69,0.39052837957795633,39.052837957795624,26.94645819087898,False
0,21,20,1,contraction,100.0,1,1.63,1.63,0.49645887071487216,49.6458870714872,31.276908855036933,False
0,22,21,1,contraction,92.17827674798846,0,1.71,1.71,0.34134812086739114,31.4648815527202,22.34006590243134,False
0,22,21,1,contraction,92.17827674798846,1,1.59,1.59,0.5516439603704365,50.849589645382466,30.001257890775662,False
0,23,22,1,contraction,84.54915028125265,0,1.67,1.67,0.40972755947994083,34.6421170008404,23.210218390563064,False
0,23,22,1,contraction,84.54915028125265,1,1.63,1.63,0.4808197451946542,40.652900894656426,25.611327563633544,False
0,24,23,1,contraction,77.30047501302266,0,1.69,1.69,0.3672806379868978,28.390967779473215,19.589767767836516,False
0,24,23,1,contraction,77.30047501302266,1,1.6,1.6,0.5264341418251083,40.693609226153804,24.416165535692286,False
0,25,24,1,contraction,70.61073738537635,0,1.65,1.65,0.42121334610382943,29.74218496495314,19.332420227219536,False
0,25,24,1,contraction,70.61073738537635,1,1.62,1.62,0.47491672157528114,33.53421990707608,20.791216342387173,False
0,26,25,1,contraction,64.64466094067262,0,1.68,1.68,0.3844428122602097,24.85217524963992,16.899479169755146,False
0,26,25,1,contraction,64.64466094067262,1,1.61,1.61,0.5086677460403275,32.88265397423314,20.05841892428222,False
0,27,26,1,contraction,59.54915028125263,0,1.66,1.66,0.3796812023148967,22.60969297561647,14.922397363906867,False
0,27,26,1,contraction,59.54915028125263,1,1.58,1.58,0.5228695253043016,31.13643593983308,18.059132845103193,False
0,28,27,1,contraction,55.44967379058161,0,1.62,1.62,0.44257135243486845,24.540437121569987,15.215071015373395,False
0,28,27,1,contraction,55.44967379058161,1,1.61,1.61,0.46063303196310784,25.54195135952088,15.580590329307741,False
0,29,28,1,contraction,52.44717418524232,0,1.6,1.6,0.445889663570327,23.385652852672038,14.031391711603225,False
0,29,28,1,contraction,52.44717418524232,1,1.59,1.59,0.4640867659450156,24.34003945058402,14.360623275844572,False
0,30,29,1,contraction,50.61558297024311,0,1.64,1.64,0.4309945737094004,21.815041605312718,13.961626627400138,False
0,30,29,1,contraction,50.61558297024311,1,1.62,1.62,0.4668908479374748,23.631952451826418,14.651810520132383,False
0,31,30,1,turning,50.0,0,1.62,1.62,0.4344050626043649,21.720253130218254,13.46655694073532,True
0,31,30,1,turning,50.0,1,1.6,1.6,0.47058538645183934,23.52926932259197,14.117561593555184,True
0,32,31,1,expansion,50.61558297024311,0,1.63,1.63,0.4327272003894568,21.902739514793566,13.798725894319945,True
